,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstGenre,secondGenre,thirdGenre
809,show,movie,197743,tt5695316,movie/578771,3 Years in Pakistan: The Erik Aude Story,"The true life story of Erik Aude, a 21-year-old American who was sent to death row in Pakistan for a crime he didn't commit. He was finally proven innocent after three years of prison and forced to choose between pride and freedom.",2018,3 Years in Pakistan: The Erik Aude Story,['Jamielyn Lippman'],"['Quinton Aaron', 'Erik Audé', 'Sherry Aude', 'David Brookwell', 'Jose Canseco', 'Lisa Catara', 'Meagan Good']",57,105.0,documentary,,
810,show,movie,19277026,tt1671445,movie/815975,3 capos,"Dos agentes federales se enfrentan a una banda formada por tres capos de la droga, que controlan gran parte del negocio del narcotráfico en la zona.",2006,3 capos,[],[],35,93.0,action,,
811,show,movie,51269,tt2822742,movie/283701,3 Hearts,A man and a woman who were attracted at first sight miss their second chance at meeting until their paths cross later and a love triangle begins.,2014,3 cœurs,['Benoît Jacquot'],"['Benoît Poelvoorde', 'Charlotte Gainsbourg', 'Chiara Mastroianni', 'Catherine Deneuve', 'André Marcon', 'Patrick Mille', 'Cédric Vieira']",58,108.0,drama,romance,
812,show,movie,54741,tt0984155,movie/25922,Before the Fall,"In this apocalyptic sci-fi thriller, a meteor is heading straight for earth -- and the world's population has just three days left to live.",2008,3 días,['F. Javier Gutiérrez'],"['Mariana Cordero', 'Eduard Fernández', 'Elvira de Armiñán', 'Víctor Clavijo', 'Nani Jiménez', 'Juan Carlos Sánchez', 'Antonio Dechent']",58,97.0,crime,scifi,
813,show,movie,16452,tt8134742,movie/489064,3 from Hell,"After barely surviving a furious shootout with the police, Baby Firefly, Otis Driftwood and Captain Spaulding are behind bars. But pure evil cannot be contained.",2019,3 from Hell,['Rob Zombie'],"['Sheri Moon Zombie', 'Bill Moseley', 'Richard Brake', 'Emilio Rivera', 'Sid Haig', 'Jeff Daniel Phillips', 'Dee Wallace']",55,115.0,action,horror,
814,show,movie,63614,tt0081658,movie/56497,Three Men to Kill,"Gerfaut comes to the aid of a man laying wounded in the road, not knowing the man has taken two bullets to the belly. Soon he becomes the target of the killers, who see him as a dangerous witness. But Gerfaut has been around the block a couple of times and he won't be so easily eliminated. A gritty, violent, and suspenseful thriller.",1980,3 hommes à abattre,['Jacques Deray'],"['Alain Delon', 'Dalila Di Lazzaro', 'Michel Auclair', 'Pascale Roberts', 'Lyne Chardonnet', 'Jean-Pierre Darras', 'Bernard Le Coq']",62,93.0,thriller,,
815,show,movie,174886,tt3309136,movie/354677,3 in a Bed,"Nate desperately seeks independence but when his two sisters come crashing into his life, and with the arrival of his new adorable neighbor Jonny, everything is frantically turned upside down. Will Jonny and Nate find true love? Or will the pressures of living with his two sisters pull them apart.",2014,3 in a Bed,['Lloyd Eyre-Morgan'],"['Brennan Reece', 'Darren Bransford', 'Verity Henry', 'Coby Hamilton', 'Jody Latham', 'Kimberly Simpson', 'Louisa Bettine']",52,81.0,comedy,drama,
816,show,movie,149236,tt1754750,movie/298776,3 of a Kind,"Trapped in a nightmare marriage, a woman contends with the deadly control of her husband in this edgy, psychological thriller",2012,3 of a Kind,['Greg Green'],"['Jaime Aymerich', 'Steve Bethers', 'Shannon Engemann', 'Margot Kidder']",44,105.0,crime,,
817,show,movie,196134,tt0065363,movie/214384,"I, a Woman Part III: The Daughter",A young Danish woman is torn between her feelings for an African-American doctor and his go-go dancing sister in this story of sexual awakening.,1970,3 slags kærlighed,['Mac Ahlberg'],"['Gunbritt Öhrström', 'Inger Sundh', 'Klaus Pagh', 'Ellen Faison', 'Søren Strømberg', 'Helli Louise', 'Bent Warburg']",45,86.0,drama,,
818,show,movie,60825,tt4126312,movie/320349,"3 ½ Minutes, 10 Bullets","In 3 1/2 Minutes, two lives intersected and were forever altered. On Black Friday in 2012, two cars parked next to each other at a Florida gas station. A white middle-aged male and a black teenager exchanged angry words over the volume of the music in the boy’s car. A gun entered the exchange, and one of them was left dead. Michael Dunn fired 10 bullets at a car full of unarmed teenagers and then fled. Three of those bullets hit 17-year-old Jordan Davis, who died at the scene. Arrested the next day, Dunn claimed he shot in self-defense. Thus began the long journey of unraveling the truth. 3 1⁄2 Minutes, Ten Bullets follows that journey, reconstructing the night of the murder and revealing how hidden racial prejudice can result in tragedy.",2015,"3 ½ Minutes, 10 Bullets",['Marc Silver'],"['Lucia McBath', 'Ron Davis', 'Michael David Dunn', 'Russell Healey', 'John Guy', 'Cory Strolla', 'Rhonda Rouer']",69,98.0,crime,documentary,
819,show,movie,90884,tt3720634,movie/298787,3 A.M,"Sunny, Raj, and Cyrus face dreadful consequences after they try to produce a reality show, to prove that ghosts exist.",2014,3 बजे,['Vishal Mahadkar'],"['Kavin Dave', 'Salil Acharya', 'Rannvijay Singha', 'Anindita Nayar']",42,103.0,horror,,
820,show,movie,22007623,tt32411272,movie/1293849,3BHK,"Middle class family, Vasudevan and wife Shanthi along with their two children Prabhu and Aarthi’s only ambition is to save up money and buy a house of their own. The dream seems easy written on paper than done, as they go through a lot over a period of time. But do they finally have a roof to call their own?",2025,3 பி.ஹெச்.கே,['Sri Ganesh'],"['Siddharth', 'R. Sarathkumar', 'Devayani', 'Meetha Raghunath', 'Chaithra J Achar', 'Yogi Babu', 'Subbu Panchu']",65,139.0,drama,,
822,show,movie,43643,tt4685096,movie/342927,3-Headed Shark Attack,A mission to rescue a marooned base on a desert planet turns deadly when the crew finds themselves hunted and attacked by giant sandworms.,2015,3-Headed Shark Attack,['Christopher Ray'],"['Jena Sims', 'Jaason Simmons', 'Rob Szatkowski', 'Danny Trejo', 'Dawn Hamil', 'Brad Mills', 'Brianna Ferris']",31,90.0,action,adventure,
824,show,movie,117795,tt7133384,movie/467266,3/4,"A pianist faces an overseas audition despite her brother’s distractions, all while their father remains confused by their behavior and anxieties.",2017,3/4,['Ilian Metev'],"['Mila Mikhova', 'Niki Mashalov', 'Todor Velchev', 'Simona Genkova', 'Kaloyan Georgiev', 'Alexander Kurtenkov', 'Bono Lungov']",61,83.0,drama,,
825,show,movie,89344,tt1484521,movie/109416,30 Beats,The lives of a group of New Yorkers intertwine through a chain reaction of sexual encounters over the course of a summertime heat wave.,2012,30 Beats,['Alexis Lloyd'],"['Ingeborga Dapkūnaitė', 'Jason William Day', 'Vahina Giocante', 'Jennifer Tilly', 'Paz de la Huerta', 'Justin Kirk', 'Ben Levin']",40,88.0,comedy,romance,
826,show,movie,327266,tt11045998,movie/749915,30 Bikes: The Story of Homestead Bicycles,"Twenty-three years after his BMX company folded, Alden Olmsted flirts with a brand relaunch while reconnecting with riders of his innovative bikes.",2021,30 Bikes: The Story of Homestead Bicycles,"['Kevin Flint', 'Brian Flint']","['Logan Alexander', 'Martin Aparijo', 'Shane Ellett', 'Nathan Escoto', 'Matthew Fabiano', 'Eddie Fiola', 'Kid Fruhmann']",51,76.0,documentary,,
827,show,movie,255194,tt7423004,movie/1025710,30 Day Promise,"What would you do if you had two months to live, a failing marriage and a broken home?  This is the scenario Heather is facing. She's dying of cancer, her husband is having an affair and her children's relationship with their dad is nonexistent. To change the direction of her family, she comes up with an unusual plan to save her marriage and re-establish a relationship with God in her family.",2017,30 Day Promise,['Corey L. Branch'],"['Todd Anthony Manaigo', 'Kelly Darby', 'Katie Del Rocco', 'Paul Garrett', 'Michaela Grinnel', 'Monte Hieke', 'Monte Hieke Jr.']",54,99.0,drama,,
828,show,movie,120816,tt0389721,movie/19294,30 Days Until I'm Famous,"This farce about the music industry follows a Latina working in LA as a messenger, who is randomly “discovered” and fashioned into a pop star.",2004,30 Days Until I'm Famous,['Gabriela Tagliavini'],"['Sean Patrick Flanery', 'Camille Guaty', 'Alanna Ubach', 'Jack Plotnick', 'Udo Kier', 'Carmen Electra', 'Lucy Gallardo']",45,86.0,comedy,romance,
829,show,movie,2554,tt0389722,movie/4513,30 Days of Night,"A sheriff, his estranged wife and an ever-shrinking group of survivors face off against bloodthirsty vampires in a small town plunged into darkness.",2007,30 Days of Night,['David Slade'],"['Josh Hartnett', 'Melissa George', 'Danny Huston', 'Ben Foster', 'Mark Boone Junior', 'Mark Rendall', 'Amber Sainsbury']",65,113.0,horror,thriller,
830,show,movie,18234,tt1320304,movie/42941,30 Days of Night: Dark Days,"A team of vampire hunters band together to exact revenge on the vampire queen who decimated the town of Barrow, Alaska.",2010,30 Days of Night: Dark Days,['Ben Ketai'],"['Kiele Sanchez', 'Mia Kirshner', 'Diora Baird', 'Rhys Coiro', 'Harold Perrineau', 'Monique Ganderton', 'Ben Cotton']",44,88.0,horror,thriller,
831,show,movie,296146,tt4074472,movie/383370,30 Days with My Brother,Alexis se ve obligado a enfrentar traumas del pasado cuando su hermano perdido de Puerto Rico aparece en su puerta en Los Ángeles.,2016,30 Days with My Brother,['Michael May'],"['Omar Mora', 'Adrián Núñez', 'Stefy Garcia']",51,105.0,drama,family,
832,show,movie,19168584,tt2416172,movie/208519,30 Ghosts,"A paranormal investigator, aided by her three quirky friends, strives to capture photographic evidence of a spirit, blending adventure with humor.",2013,30 Ghosts,['Sean Cisterna'],"['Kim Hadfield Verheul', 'Kimberley Valstar', 'Leah Hurst Lywood', 'Jeff Sharpe', 'Robin Pyatt Bellamy', 'Phoebe Dykstra', 'Stephen Livingstone']",45,79.0,documentary,,
833,show,movie,158511,tt0398638,movie/45111,30 Miles,"A stranded man on a roadside is picked up by a Hollywood agent, but dark secrets and intense truths could soon wreck one or both of them.",2005,30 Miles,['Ryan Harper'],"['Lawrence Hilton-Jacobs', 'Rusty Gray', 'Ken Arquelio']",50,80.0,drama,thriller,
834,show,movie,66978,tt7316576,movie/564082,30 Miles from Nowhere,"When five college pals return to rural Wisconsin for their estranged friend's funeral, the uneasy reunion becomes a terrifying fight for survival.",2018,30 Miles from Nowhere,['Caitlin Koller'],"['Carrie Preston', 'Seana Kofoed', 'Rob Benedict', 'Cathy Shim', 'Marielle Scott', 'William Smillie', 'Postell Pringle']",42,84.0,comedy,horror,mystery
835,show,movie,4509,tt1622547,movie/62206,30 Minutes or Less,"In 30 Minutes or Less, a small town pizza delivery guy is kidnapped and forced to rob a bank in mere hours by two wanna-be criminal masterminds.",2011,30 Minutes or Less,['Ruben Fleischer'],"['Jesse Eisenberg', 'Danny McBride', 'Aziz Ansari', 'Nick Swardson', 'Dilshad Vadsaria', 'Michael Peña', 'Bianca Kajlich']",59,83.0,action,comedy,crime
836,show,movie,39545,tt2417650,movie/157058,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,"After a stint in a psychiatric hospital, a young woman returns to the house where her father killed the entire cast of The Artist during his exorcism.",2013,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,['Craig Moss'],"['Kathryn Fiore', 'Flip Schultz', 'Olivia Alexander', 'Arturo del Puerto', 'Danny Woodburn', 'French Stewart', 'Peter Gilroy']",29,80.0,comedy,horror,
838,show,movie,6851090,tt11348558,movie/1123804,30 Seconds in Hell,The gunfighters of the OK Corral are brought back from the grave by the mysterious Destiny and her henchman Sorem to start the battle all over again.,2021,30 Seconds in Hell,['Michael Anthony Giudicissi'],"['Danny Winn', 'James Blackburn', 'Lachlan Jones', 'Scot Scurlock', 'Ryan Knudson', 'Bill Foster', 'Habib Madison']",38,98.0,western,,
840,show,movie,317178,tt2129856,movie/322849,30 Years from Here,"This original hard hitting, Emmy-nominated documentary examines the trials and tribulations of the AIDS pandemic over the past 30 years. Activists, medical experts, and others involved in the early years share their stories from the war on AIDS.",2011,30 Years from Here,['Josh Rosenzweig'],"['David Drake', 'Larry Kramer', 'Terrence McNally', 'Sean O. Strub', 'Jerry Mitchell']",50,50.0,documentary,,
841,show,movie,164504,tt3711708,movie/270533,30 Years of Garbage: The Garbage Pail Kids Story,In the 1980s a bunch of underground cartoonists parodied a popular doll. The resulting commercial product tapped into an international kid zeitgeist. That young generation felt that this product spoke to the revulsion they had for the corporate pop culture that was being fed to them.,2017,30 Years of Garbage: The Garbage Pail Kids Story,"['Joe Simko', 'Jeff Zapata']","['Art Spiegelman', 'John Pound', 'Tom Bunk', 'Adam F. Goldberg', 'James Warhola', 'Mackenzie Astin', 'Jeff Zapata']",61,114.0,documentary,,
842,show,movie,137841,tt0273048,movie/41756,30 Years to Life,"30 Years to Life follows the lives of six friends in New York City during the year they each reach their 30th birthday. As the big day approaches, they evaluate life and question whether their hopes and dreams are going to come true as the realities of age, mortality and loss of metabolism start to set in. Growing old is mandatory, but growing up is optional. Laugh out loud with some of today’s hottest stars, in this smart, hip and hilarious comedy.",2001,30 Years to Life,['Vanessa Middleton'],"['Erika Alexander', 'Melissa De Sousa', 'Tracy Morgan', 'Paula Jai Parker', 'Allen Payne', 'T.E. Russell', 'Kadeem Hardison']",59,96.0,comedy,drama,romance
