,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstAirYear,lastAirYear,creators,seasonCount,episodeCount,firstGenre,secondGenre,thirdGenre
496,show,series,14545,tt13923092,tv/119594,1962: The War In The Hills,"In the Sino-Indian War, 126 Indians defended a strategic pass against 3,000 enemy soldiers. This was a battle of dauntless courage, fought to the last bullet.",,1962: The War In The Hills,,"['Abhay Deol', 'Mahie Gill', 'Sumeet Vyas', 'Akash Thosar', 'Rochelle Rao', 'Vineet Sharma', 'Meiyang Chang']",57,,2021.0,2021.0,[],1.0,10.0,action,adventure,drama
500,show,series,34397,tt6903222,tv/79774,1968: The Year That Changed America,"Explore 1968, a year marked by seismic shifts in American politics, social movements, global relations and cultural icons that changed the modern landscape.",,1968: The Year That Changed America,,[],62,,2018.0,2018.0,[],1.0,4.0,documentary,history,
501,show,series,14163,tt14544732,tv/124339,1971: The Year That Music Changed Everything,"This docuseries explores a year of unprecedented musical change—with stars reaching new heights, fresh talent exploding, and boundaries expanding.",,1971: The Year That Music Changed Everything,,"['Mick Jagger', 'David Bowie', 'John Lennon', 'Jim Morrison', 'Alice Cooper', 'Sly Stone', 'Muhammad Ali']",70,,2021.0,2021.0,[],1.0,8.0,documentary,history,music
507,show,series,6984,tt7371666,tv/82798,1983,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",,1983,,"['Robert Więckiewicz', 'Maciej Musiał', 'Michalina Olszańska', 'Andrzej Chyra', 'Zofia Wichłacz', 'Agnieszka Żulewska', 'Krzysztof Wach']",66,,2018.0,2018.0,"['Joshua Long', 'Maciej Musiał']",1.0,8.0,crime,drama,thriller
515,show,series,70211,tt8756950,tv/115832,1989: The Year that Made Us,"From the fall of the Berlin Wall to the debut of the World Wide Web, Nat Geo takes a fascinating look at 1989: The Year That Made Us.",,1989: The Year that Made Us,,['Delbert Hunt'],55,,2019.0,2019.0,[],1.0,6.0,documentary,history,
516,show,series,45452,tt6273088,tv/69446,Back to 1989,"A young man who's learned nothing about his father from his single mom has a freak accident that sends him back to 1989, the year before he was born.",,1989一念間,,"['Marcus Chang', 'Ray Yang', 'Ivy Shao', 'Tsai Huang Ru', 'Chieh Chang', 'Yorke Sun']",59,,2016.0,2016.0,['Joyce Liu'],1.0,34.0,drama,,
519,show,series,10701,tt2983290,tv/62459,1992,,,1992,,"['Stefano Accorsi', 'Guido Caprino', 'Miriam Leone', 'Domenico Diele', 'Tea Falco', 'Alessandro Roja', 'Pietro Ragusa']",70,,2015.0,2015.0,"['Ludovica Rampoldi', 'Alessandro Fabbri', 'Stefano Sardo']",1.0,10.0,drama,,
521,show,series,14409789,tt27787158,tv/225467,1992,"After her husband dies in an explosion, a grieving widow and a haunted ex-cop investigate a series of murders with sinister ties to the Seville Expo '92.",,1992,,"['Fernando Valdivielso', 'Marian Álvarez', 'Víctor Rivas', 'Carlos Santos', 'Álex Gadea', 'Jaime Ordóñez', 'Marieta Sánchez']",58,,2024.0,2024.0,"['Álex de la Iglesia', 'Jorge Guerricaechevarría']",1.0,6.0,action,adventure,crime
522,show,series,16104,tt6859148,tv/99688,1993,"Rome, 30 April 1993. A crowd throws coins at Italian politician Bettino Craxi - as if the Civil War has begun. Be quick if you want a place in the new system. Now, it´s every man for himself. Leo dreams of political adventures, building a new movement.",,1993,,"['Stefano Accorsi', 'Guido Caprino', 'Miriam Leone', 'Antonio Gerardi', 'Tea Falco', 'Eros Galbiati', 'Domenico Diele']",68,,2017.0,2017.0,[],1.0,8.0,drama,,
523,show,series,18839,tt8736278,tv/102229,1994,"Italy drastically changed in 1994 with the election of Silvio Berlusconi. Now, political mastermind Leonardo Notte finds that while it is not easy to win power, holding on to it might prove to be impossible; 1994 will be the year of restoration.",,1994,,"['Stefano Accorsi', 'Guido Caprino', 'Miriam Leone', 'Antonio Gerardi', 'Paolo Pierobon', 'Giovanni Ludeno', 'Paolo Mazzarelli']",67,,2019.0,2019.0,[],1.0,8.0,drama,,
526,show,series,22535673,tt37274927,tv/293432,The 19th Medical Chart,"In Japan's emerging general medicine field, Dr. Akira Tokushige uses keen consultation skills to treat patients with complex or undiagnosable conditions.",,19番目のカルテ,,"['Jun Matsumoto', 'Fuka Koshiba', 'Mackenyu', 'Yoshino Kimura', 'Min Tanaka', 'Hiroya Shimizu', 'Taiiku Okazaki']",59,,2025.0,2025.0,['Fujiya Katsuhito'],1.0,8.0,drama,,
531,show,series,23914,tt0086660,tv/10021,1st & Ten,"A divorce settlement makes Diane Barrow the new owner of a ragtag NFL team who must take on big egos, crooked agents, pompous politicians and the mob.",,1st & Ten,,"['Reid Shelton', 'Cliff Frazier', 'Donald Gibb', 'Prince Hughes', 'O. J. Simpson', 'John Kassir', 'Michael Toland']",62,,1984.0,1991.0,['Carl Kleinschmitt'],6.0,80.0,comedy,,
540,show,series,543,tt1845307,tv/39340,2 Broke Girls,Two young waitresses form a friendship in their quest to raise enough money so that they can start their own restaurant.,,2 Broke Girls,,"['Kat Dennings', 'Beth Behrs', 'Garrett Morris', 'Jonathan Kite', 'Matthew Moy', 'Jennifer Coolidge', 'Ed Quinn']",68,,2011.0,2017.0,"['Michael Patrick King', 'Whitney Cummings']",6.0,137.0,comedy,,
546,show,series,21054,tt7246394,tv/75968,2 Dope Queens,"Jessica Williams and Phoebe Robinson -- described as hilarious and socially aware at the same time -- bring their hit comedy podcast to HBO for a series of hourlong specials. Each has a theme that is built around a main guest -- in ""New York,"" for example, Jon Stewart shares memories of living in the city, and Jessica and Phoebe test his pizza knowledge -- plus showcases some of the ladies' favourite stand-up comics. Other guests include Uzo Aduba, Sarah Jessica Parker and Tituss Burgess. The shows are taped in front of a studio audience at Kings Theatre in Brooklyn, N.Y.",,2 Dope Queens,,"['Phoebe Robinson', 'Jessica Williams', 'Stephen Lin', 'Jon Stewart', 'Sarah Jessica Parker', 'Tituss Burgess', 'Uzo Aduba']",58,,2018.0,2019.0,[],2.0,8.0,comedy,talk,
574,show,series,29295,tt13286958,tv/105004,2.43: Seiin High School Boys Volleyball Team,"Can the ace pair be reunited? Genius setter Kimichika Haijima and team ace Yuni Kuroba were a duo on and off the volleyball court. But after a fight, they end their friendship. Now in high school, they need to work it out if they want to go to Nationals.",,2.43 清陰高校男子バレー部,,"['Yuuichirou Umehara', 'Kensho Ono', 'Shouta Aoi', 'Junya Enoki', 'Kent Ito', 'Subaru Kimura', 'Kaito Takeda']",62,,2021.0,2021.0,[],1.0,12.0,animation,drama,
575,show,series,9883804,tt31141567,tv/216074,2.5 Dimensional Seduction,"Okumura, president of his school’s manga club, prefers 2D character Liliel over real girls. When Ririsa, a cosplay enthusiast and Lilliel fan, joins the club and asks Okumura to become her photographer, the line between 2D and 3D blurs.",,2.5次元の誘惑,,"['Junya Enoki', 'Kaori Maeda', 'Akari Kito', 'Sayumi Suzushiro', 'Sayumi Watabe', 'Mao Ichimichi', 'Tomokazu Sugita']",68,,2024.0,2024.0,[],2.0,24.0,animation,comedy,romance
588,show,series,22009583,tt28082463,tv/228212,"20,000 Leagues Under the Sea","Diego, his friends, and Admiral Nemo try to save the ocean while facing great dangers.",,20.000 leguas de viaje submarino,,"['Paty Cantú', 'Yankel Stevan', 'Óscar Jaenada', 'Margarita Rosa de Francisco', 'Mauricio “El Diablito” Barrientos', 'Gabriel Goity', 'Sebastián García Huerta']",40,,2025.0,2025.0,[],1.0,6.0,adventure,family,fantasy
632,show,series,58685,tt7879744,tv/76001,2077 – 10 Seconds To The Future,Imagine our planet in the future. Will we be a multi-planet species with a lifespan of 110 years? Will human life be replaced by computers?,,2077 - 10 segundos para o Futuro,,[],55,,2018.0,2018.0,[],1.0,4.0,documentary,history,scifi
639,show,series,20013341,tt13261594,tv/217679,21 Day Transformation,"Get it all done with Julia's 21 day Transformation program! From cardio to strength training to yoga, this series of workouts will not only help you shed extra fat and calories, it will also build lean muscle, tone you up from head to toe, and develop core strength.",,21 Day Transformation,,['Julia Bognar'],36,,2015.0,2015.0,['Gymra Shab'],1.0,1.0,documentary,family,
644,show,series,3154,tt0092312,tv/1486,21 Jump Street,"When crime escalates at an LA high school, the police force sends four young-looking officers back to the classroom to work undercover.",,21 Jump Street,,"['Holly Robinson Peete', 'Peter DeLuise', 'Steven Williams', 'Johnny Depp', 'Dustin Nguyễn', 'Sal Jenco', 'Michael DeLuise']",71,,1987.0,1991.0,"['Stephen J. Cannell', 'Patrick Hasburgh']",5.0,103.0,crime,drama,mystery
645,show,series,16583,tt6145878,tv/73071,21 Thunder,"The stars and coaches of an under-21 soccer team navigate life in the cutthroat world of pro soccer, where a club lives and dies by its U21 players.",,21 Thunder,,"['Stephanie Bennett', 'Clark Backo', 'Ryan Pierce', 'RJ Fetherstonhaugh', 'Emmanuel Kabongo', 'Andres Joseph', 'Sarah Booth']",59,,2017.0,2017.0,"['Riley Adams', 'Kenneth Hirsch', 'Adrian Wills']",1.0,8.0,drama,,
652,show,series,73587,tt13981398,tv/84005,21st Century Serial Killers,"An unflinching look at some of the most heinous crimes of our modern times, as discussed by victim’s family members and forensic experts.",,21st Century Serial Killers,,"['Will Hanrahan', 'Colin Sutton', 'Serena Kutchinsky', 'Peter Bleksley']",53,,2018.0,2018.0,[],1.0,7.0,crime,documentary,
656,show,series,65429,tt14139100,tv/153798,22 Kids and Counting,"In this season of the TLC hit docuseries, the Radfords welcome another child to their family just as the COVID-19 pandemic strikes England.",,22 Kids and Counting,,"['Noel Radford', 'Sue Radford']",58,,2021.0,2025.0,[],7.0,48.0,documentary,,
660,show,series,7928,tt0088470,tv/1938,227,Marla Gibbs stars as a sharp-witted housewife who finds herself mixed up in the lives of her eccentric fellow tenants in her apartment complex.,,227,,"['Marla Gibbs', 'Hal Williams', 'Alaina Reed Hall', 'Jackée Harry', 'Regina King', 'Helen Martin', 'Curtis Baldwin']",67,,1985.0,1990.0,['Michael G. Moye'],5.0,116.0,comedy,,
671,show,series,252,tt0285331,tv/1973,24,"Kiefer Sutherland stars as Jack Bauer in this unique television series in which the entire season takes place in one day, with each of the 24 episodes covering one hour and told in real time.",,24,,"['Kiefer Sutherland', 'Mary Lynn Rajskub', 'Carlos Bernard', 'Dennis Haysbert', 'Elisha Cuthbert', 'Sarah Clarke', 'Kim Raver']",82,,2001.0,2014.0,"['Robert Cochran', 'Joel Surnow']",9.0,204.0,action,crime,drama
676,show,series,20032881,tt2525290,tv/64183,24 Hour Rental,"A former mafia boss runs a dodgy video store as a front, but when his life’s in jeopardy, he uses all his resources to climb back to the top.",,24 Hour Rental,,"['Romano Orzari', 'Adam Kenneth Wilson', 'Aaron Berg', 'Marc Senior', 'Kate Ross', 'Salvatore Antonio']",48,,2014.0,2014.0,['Frank Massa'],1.0,13.0,comedy,crime,
680,show,series,25283,tt2674484,tv/39706,24 Hours in A&E,Follow along as cameras film some of Britain's busiest Accident & Emergency departments and the cases they face throughout the day.,,24 Hours in A&E,,[],63,,2011.0,2025.0,[],35.0,326.0,documentary,,
682,show,series,20397,tt4116046,tv/61956,24 Hours in Police Custody,"Cameras follow police in Bedfordshire over a 24-hour period as they respond to emergencies, investigate crimes, arrest suspects and race against time.",,24 Hours in Police Custody,,"['Royce Pierreson', 'Zawe Ashton']",67,,2014.0,2022.0,[],10.0,60.0,crime,documentary,
690,show,series,8872360,tt31976132,tv/248021,24 in 24: Last Chef Standing,"Chefs often describe their jobs as being 24/7/365 in the eat-or-be-eaten restaurant industry, but no cooking competition has ever captured that knock-down, drag-out intensity -- until now! Michael Symon and Esther Choi host the world's toughest cooking competition that's part culinary marathon and part social experiment where 24 chefs take on 24 challenges over 24 real, nonstop hours. The challenges are divided into eight shifts, each testing a different culinary skill like speed, resourcefulness, artistry and adaptability, which these brave chefs must try to conquer as the lowest scoring chefs get eliminated. The 24-hour clock never stops until there is only one true master left to take home their biggest single-day payday ever.",,24 in 24: Last Chef Standing,,"['Michael Symon', 'Esther Choi', 'Jet Tila', 'Stephanie Izard', 'Scott Conant', 'Bryan Voltaggio', 'Michael Voltaggio']",65,,2024.0,2025.0,[],2.0,17.0,reality,,
694,show,series,3538,tt5345490,tv/66789,24: Legacy,LEGACY chronicles a devastating terrorist attack on United States soil.,,24: Legacy,,"['Corey Hawkins', 'Miranda Otto', 'Anna Diop', 'Teddy Sears', 'Jimmy Smits', 'Dan Bucatinsky', 'Coral Peña']",62,,2017.0,2017.0,"['Manny Coto', 'Evan Katz']",1.0,12.0,action,crime,drama
695,show,series,79337,tt8539844,tv/89072,24h Europe: The Next Generation,A contractor and his kids rescue homeowners from shady deals and bad DIYs.,,24h Europe: The Next Generation,,[],51,,2019.0,2019.0,[],1.0,24.0,documentary,,
701,show,series,35650,tt8689502,tv/92661,25 Words or Less,This raucous game show pits celebrities against civilians in a rapid-fire challenge where contestants get clues to guess secret words and phrases.,,25 Words or Less,,"['Meredith Vieira', 'Colton Dunn', 'Melissa Peterman', 'Greg Grunberg', 'Mary McCormack', 'Andy Richter', 'Jaleel White']",63,,2018.0,2025.0,[],7.0,621.0,,,
707,show,series,47392,tt0049991,tv/17555,26 Men,Based on real incidents of Arizona rangers maintaining order in 1900. Captain Thomas Rynning and Ranger Clint Travis fight for justice in the West.,,26 Men,,"['Tristram Coffin', 'Kelo Henderson', 'William Fawcett', 'Gregg Palmer', 'Roy Barcroft', 'Lane Bradford', 'Mickey Simpson']",55,,1957.0,1959.0,[],2.0,78.0,western,,
715,show,series,10927,tt22227040,tv/210922,28 Days Haunted,Three teams each spend 28 days in some of America's most haunted locations for a paranormal experiment based on the theories of Ed and Lorraine Warren.,,28 Days Haunted,,['Tony Spera'],43,,2022.0,2022.0,[],1.0,6.0,horror,reality,
740,show,series,68845,tt5902204,tv/120746,2nd Generation,"A coming of age story, set in today's harsh melting pot society, trying to draw the lines between racism, morals, love, friendship, and secrets.",,2nd Generation,,"['Eshaan Buadwal', 'Ticoon Kim', 'Charlie Gillespie', 'Hailey Kittle', 'Sophi Knight', 'Mathew Edmondson', 'David Knoll']",53,,2018.0,2018.0,[],1.0,6.0,drama,,
750,show,series,67537,tt7247724,tv/93030,3 Amigonauts,Three friends in the far-off future go to the best space academy in the solar system and find themselves in far-out adventures all the time!,,3 Amigonauts,,"['Annick Obonsawin', 'Julie Sype', 'Doug Hadders']",54,,2017.0,2017.0,"['Kyle Marshall', 'Terry McGurrin', 'Laurie Elliott']",1.0,20.0,animation,,
758,show,series,8238735,tt13016388,tv/108545,3 Body Problem,"Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges.",,3 Body Problem,,"['Jovan Adepo', 'Rosalind Chao', 'Liam Cunningham', 'Eiza González', 'Jess Hong', 'Marlo Kelly', 'Alex Sharp']",74,,2024.0,2024.0,"['Alexander Woo', 'D. B. Weiss', 'David Benioff']",1.0,8.0,adventure,drama,fantasy
759,show,series,25721,tt11658082,tv/113791,3 Caminos,"Multi-language original audio or Spanish dubbed audio versions available. 

3 Caminos tells the life story of five friends, each one of a different nationality, all of them conected by El Camino in three specific moments of their lives. Along this path we enter in their lives: the passage of time, their dreams, the stories of couples and friendships, and how this will transform their personalities.",,3 Caminos,,"['Álex González', 'Verónica Echegui', 'Anna Schimrigk', 'Andrea Bosca', 'Alberto Jo Lee', 'Cecilia Suárez', 'João Reis']",64,,2021.0,2021.0,"['Alberto Macías', 'Juan Ramón Ruíz de Somavía', 'Carlos Molinero']",1.0,8.0,adventure,,
775,show,series,86950,tt8676266,tv/66957,3 Familias,Historias entrelazadas de tres familias ecuatorianas de distintas clases sociales enfrentando desafíos únicos y revelando sus secretos.,,3 Familias,,"['Marcela Ruete', 'Cristhian Maquilón', 'Cecilia Cascante', 'Martín Calle', 'Erika Monserrate Vélez Zambrano', 'Frank Bonilla']",49,,2014.0,2019.0,['Marcos Espín'],5.0,291.0,comedy,,
803,show,series,21837,tt18274172,tv/158762,Hei$t: The Great Robbery of Brazil's Central Bank,"In 2005, thieves tunnel into a Fortaleza, Brazil, bank vault and steal over 160 million reais. This documentary series follows that bold, historic heist.",,3 Tonelada$: Assalto ao Banco Central,,[],63,,2022.0,2022.0,"['Rodrigo Astiz', 'Nikolas Fonseca', 'Daniel Billio']",1.0,3.0,crime,documentary,
821,show,series,1748,tt4922804,tv/68467,3%,"In a dystopian near-future, three percent of the candidates undergo a wicked and grueling selection method to earn a spot to live in an idyllic land known as the Offshore.",,3%,,"['Bianca Comparato', 'Vaneza Oliveira', 'Rodolfo Valente', 'Rafael Lozano', 'Thais Lago', 'Bruno Fagundes', 'Laila Garin']",71,,2016.0,2020.0,['Pedro Aguilera'],4.0,33.0,action,drama,scifi
823,show,series,19882750,tt14819118,tv/207545,3-minute Maiko,"This horror anthology explores vengeance and karmic retribution at 3 A.M. A woman avenging her spouse's betrayal, a girl with a deadly plan, and a taxi driver judging by his own twisted code. Are these acts driven by spirits or their own dark minds?",,3-minute Maiko,,[],38,,2021.0,2021.0,[],1.0,4.0,documentary,,
837,show,series,399,tt0496424,tv/4608,30 Rock,"One of the most acclaimed comedy series of all time, set behind the scenes at a late-night variety show, where head writer Liz Lemon must deal with an arrogant boss, self-obsessed celebs, and a sensitive writing staff - without losing her mind.",,30 Rock,,"['Tina Fey', 'Alec Baldwin', 'Tracy Morgan', 'Jane Krakowski', 'Jack McBrayer', 'Scott Adsit', 'Judah Friedlander']",80,,2006.0,2013.0,['Tina Fey'],7.0,138.0,comedy,,
839,show,series,19990407,tt6291796,tv/68609,30 Something Grandma,Three 30-something women—young mothers themselves—navigate the challenges of becoming grandmothers when their teenage daughters get pregnant.,,30 Something Grandma,,[],36,,2016.0,2016.0,[],1.0,1.0,reality,,
843,show,series,6239,tt1408430,tv/31677,30 for 30,"From the producers of the Emmy-nominated and Peabody-Award winning 30 for 30 series, ESPN Films creates exceptional sports stories from some of today's finest filmmakers.",,30 for 30,,"['Bill Walton', 'Sylvester Stallone', 'Morgan Freeman', 'Wayne Gretzky', 'Walter Gretzky', 'Janet Jones', 'Jim Matheson']",73,,2009.0,2025.0,"['Bill Simmons', 'John Dahl', 'Connor Schell']",4.0,135.0,documentary,history,
844,show,series,34896,tt2158640,tv/156145,30 for 30 Shorts,"Inspired by ESPN's anniversary, ESPN Films' 30 for 30 is an unprecedented documentary series featuring films from some of today's finest storytellers. Each filmmaker brings their passion and personal point of view to their films that transformed the sports landscape from 1979 to 2009. Own select films from this acclaimed series today.",,30 for 30 Shorts,,[],60,,2012.0,2022.0,[],1.0,74.0,documentary,,
845,show,series,4631,tt9764386,tv/89844,30 Coins,From Álex de la Iglesia comes this bone-chilling horror series starring Eduard Fernández as a priest who is exiled to a small Spanish town.,,30 monedas,,"['Eduard Fernández', 'Megan Montaner', 'Miguel Ángel Silvestre', 'Macarena Gómez', 'Pepón Nieto', 'Cosimo Fusco', 'Manolo Solo']",71,,2020.0,2023.0,['Álex de la Iglesia'],2.0,16.0,drama,fantasy,horror
860,show,series,7545026,tt28369144,tv/237045,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,"Adachi’s 30th birthday as a virgin came with the oddest gift—the ability to read the mind of anyone he touches. Pondering what to do, he accidentally reads his colleague Kurosawa’s mind. Turns out the handsome hotshot has got a thing for him!",,30歳まで童貞だと魔法使いになれるらしい,,"['Chiaki Kobayashi', 'Ryota Suzuki', 'Makoto Furukawa', 'Gen Sato']",70,,2024.0,2024.0,[],1.0,12.0,animation,comedy,fantasy
871,show,series,43316,tt3919200,tv/61925,35 Days,"Turning the traditional investigative drama inside out, each binge-worthy season of this gripping Welsh mystery starts with a shocking murder before immediately rolling back 35 days to follow the chain of events that lead to that fateful day.",,35 Diwrnod,,"['Lois Jones', 'Mark Flanagan', 'Ifan Huw Dafydd', 'Sharon Morgan', 'Gillian Elisa', 'Christine Pritchard', 'Gwenllian Higginson']",59,,2014.0,2020.0,['Siwan Jones'],5.0,38.0,mystery,,
885,show,series,44234,tt13462310,tv/113819,Cheeky Business,"Simon, Toni and Stephanie embody a new generation ready to do anything to appropriate their new decade. From the depths of their suburbs, their revolutionary idea aims to contribute to the sexual disinhibition of an entire country.",,3615 Monique,,"['Arthur Mazet', 'Paul Scarfoglio', 'Noémie Schmidt', 'Vanessa Guide', 'David Salles', 'Meylie Vignaud', 'Roxane Bret']",60,,2020.0,2022.0,"['Emmanuel Poulain-Arnaud', 'Armand Robin']",2.0,20.0,comedy,,
894,show,series,3556491,tt15720172,tv/203749,37 Words,"The inspiring story of Title IX, the hard-fought battle to push for equal rights in education and athletics; charting spectacular transformation that 37 words have inspired in American culture and the lives of women.",,37 Words,,"['Birch Bayh', 'Patsy Mink', 'Shirley Chisholm', 'Gerald Ford']",50,,2022.0,2022.0,[],1.0,4.0,documentary,,
899,show,series,25243,tt5536856,tv/66405,Squad 38,A Korean crime series revolving around a con man and a Seoul City Hall chief officer who team up to hunt down high-scale tax evaders.,,38 사기동대,,"['Don Lee', 'Seo In-guk', 'Sooyoung Choi', 'Song Ok-suk', 'Ko Kyu-phil', 'Lee Sun-bin', 'Ahn Nae-sang']",65,,2016.0,2016.0,['Kim Jung Min'],1.0,16.0,comedy,crime,
912,show,series,5279,tt7736544,tv/84154,3Below: Tales of Arcadia,"3BELOW: TALES OF ARCADIA is the second chapter in Guillermo del Toro's tween fantasy series, Tales of Arcadia. It's sandwiched between Trollhunters and Wizards, and while some plot from Trollhunters extends into this 26-episode second chapter, it's great as a stand-alone watch as well. The series starts off with a scary coup during planet Akiridion-5's coronation ceremony, leaving king-in-waiting Krel (Diego Luna, Narcos) and queen-in-waiting Aja (Tatiana Maslany, Orphan Black) no choice but to flee to Earth with their bodyguard Varvatos Vex (Nick Offerman, Parks and Recreation). Their spaceship is damaged in the journey, but its AI controller Mother (Glenn Close), is still able to turn cyborgs Aja, Krel, and Varvatos into human disguises, their spaceship into a mid-century modern house, and spare robots into 1950s caricatures of perfect White suburban parents. Aja and Krel do their best to blend into regular high school life while trying to find parts to repair the spaceship, which also may bring their murdered parents back to life. All the while, they're being pursued by the bad guy from back home, General Morando, and his robot henchmen. Can they fix their spaceship, save their parents, and get back home, before their human friends figure out who they really are?",,3Below: Tales of Arcadia,,"['Tatiana Maslany', 'Frank Welker', 'Cheryl Hines', 'Glenn Close', 'Diego Luna', 'Nick Offerman', 'Nick Frost']",75,,2018.0,2019.0,['Guillermo del Toro'],2.0,26.0,action,adventure,animation
914,show,series,19971628,tt7136920,tv/226759,3D Print the Future,"Meet top minds in the 3D printing community who discuss what it takes to invent and innovate, while creating a thriving business.",,3D Print the Future,,"['Scott Tarcy', 'Bart Briggs', 'Jeremy Proffitt', 'Naomi Wu', 'David Frankel', 'Ravi Velagapudi', 'Otis Ricks']",48,,2017.0,2017.0,"['Brett Gerking', 'Scott Tarcy', 'Gina Watson']",1.0,3.0,talk,,
920,show,series,944,tt0115082,tv/155,3rd Rock from the Sun,Third Rock from the Sun Season 6,,3rd Rock from the Sun,,"['John Lithgow', 'Kristen Johnston', 'Jane Curtin', 'Joseph Gordon-Levitt', 'French Stewart', 'Simbi Khali', 'Elmarie Wendel']",77,,1996.0,2001.0,"['Bonnie Turner', 'Terry Turner']",6.0,139.0,comedy,family,scifi
924,show,series,72840,tt0299398,tv/34758,Tama and Friends,"The animals of Third Street are seen getting into many misadventures. Tama Okamoto, the curious feline, often goes missing from his home, causing his owner to have posters up looking for him. However, Tama's absence is his opportunity to visit all of his wandering furry friends around the neighborhood.",,3丁目のタマ うちのタマ知りませんか？,,"['Hiroko Kasahara', 'Chika Sakamoto', 'Tarô Arakawa', 'Watanabe Masako', 'Hekiru Shiina']",52,,1993.0,1994.0,[],2.0,69.0,animation,family,
925,show,series,23354639,tt27182605,tv/222624,GINTAMA - Mr. Ginpachi's Zany Class,,,3年Z組銀八先生,,"['Tomokazu Sugita', 'Daisuke Sakaguchi', 'Rie Kugimiya', 'Satsuki Yukino', 'Susumu Chiba', 'Kazuya Nakai', 'Kenichi Suzumura']",40,,2025.0,2025.0,[],1.0,12.0,animation,comedy,
926,show,series,16667,tt23032890,tv/208336,Revenge of Others,"Winner of Best Female Newcomer at the Blue Dragon Series Awards.

A boy falls to his death at school, but Ok Chanmi does not believe that her twin brother, Park Wonseok, committed suicide. Chanmi transfers to her brother's school, Yongtan High, and meets Ji Sooheon, who witnessed her brother's death. A ""hero,"" who avenges bullied students, appears at Yongtan High. Chanmi speculates that it may be connected to her brother and starts looking for this hero.",,3인칭 복수,,"['Shin Ye-eun', 'Lomon', 'Seo Ji-hoon', 'Chae Sang-woo', 'Lee Soo-min', 'Chung Su-bin', 'Kim Joo-ryoung']",75,,2022.0,2022.0,[],1.0,12.0,action,drama,mystery
927,show,series,4431,tt5754602,tv/71641,4 Blocks,"Drugs, money, slots, and women: these are the four pillars of Ali “Toni” Hamady’s (Kida Khodr Ramadan) criminal empire. Toni’s greatest desire, however, is to leave the world of crime behind and live an honest life with his beautiful wife and daughter – which proves impossible when a police raid lands his brother-in-law in jail and exposes weaknesses in his cartel. As he’s pulled back in, Toni is forced to contend with a quick-tempered brother, an undercover agent, rival gang wars, a traitor within his own ranks, and dogged pursuit by Berlin police. Explosive and exhilarating, 4 Blocks explores family and loyalty in the costly world of organized crime.",,4 Blocks,,"['Kida Khodr Ramadan', 'Massiv', 'Almila Bağrıaçık', 'Oliver Masucci', 'Emilio Sakraya', 'Maryam Zaree', 'Veysel Gelin']",76,,2017.0,2019.0,"['Richard Kropf', 'Hanno Hackfort', 'Bob Konrad']",3.0,19.0,crime,drama,
961,show,series,67973,tt8429140,tv/83152,40 and Single,"40 and Single is an invitation into the tumultuous life of Ebaner Temple-a biracial, bi-sexual, single, bridal fashion designer. We witness her maneuver life in the African city of Accra, Ghana, where race and colorism have significant colonial roots and challenges in a patriarchal society.",,40 and Single,,"['Marie Humbert', 'Luckei E. Lawson', 'Miranda Bailey', 'Leon', 'John Savage', 'Vanessa Williams']",54,,2018.0,2018.0,[],1.0,6.0,drama,romance,
962,show,series,46595,tt5711512,tv/71740,40 y 20,"Paco sale con Miranda a un antro, pero se la pasa tan mal que la deja sola con sus amigos y ella lo engaña con un Dj. Fran hace una fiesta para animar a Paco, Miranda llega muy borracha e insulta a Monse, una amiga de Paco.",,40 y 20,,"['Jorge Van Rankin', 'Michelle Rodríguez', 'Mauricio Garza', 'Mónica Huarte', 'Verónica Jaspeado', 'Begoña Narváez', 'Oswaldo Zárate']",59,,2016.0,2025.0,['Gustavo Loza'],12.0,148.0,comedy,,
974,show,series,89403,tt15415042,tv/127616,42 – The Answer to Almost Everything,Will we travel to Mars? Can we read minds? This knowledge series asks the big and small questions… and gets to the bottom of them.,,42 - Die Antwort auf fast alles,,"['Nora Tschirner', 'Jens Junge']",53,,2021.0,2025.0,[],3.0,175.0,documentary,,
977,show,series,14631,tt15090462,tv/197190,42 Days of Darkness,"In a town in Chile, a woman leads a frantic search to find her missing sister amid a media storm and the police investigation. Inspired by a true case.",,42 días en la oscuridad,,"['Aline Küppenheim', 'Claudia di Girólamo', 'Pablo Macaya', 'Daniel Alcaíno', 'Amparo Noguera', 'Monserrat Lira', 'Julia Lübbert']",64,,2022.0,2022.0,[],1.0,6.0,crime,drama,mystery
986,show,series,30927,tt9699148,tv/89387,44 Cats,"Pawesome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",,44 Gatti,,"['Keira Johnson', 'Joy Saltarelli', 'Sarah Natochenny', 'Erica D. Schroeder']",62,,2018.0,2021.0,['Iginio Straffi'],2.0,104.0,adventure,animation,comedy
