,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstAirYear,lastAirYear,creators,seasonCount,episodeCount,firstGenre,secondGenre,thirdGenre
229,show,series,11866,tt14126234,tv/121481,100 Foot Wave,"Garrett McNamara journeyed to Nazare, Portugal, with one goal in mind: to conquer a 100-foot wave. His effort drove the sport of surfing to new heights and helped transform a tiny fishing village into the world's preeminent big-wave surfing destination. From HBO Sports comes this breathtaking six-part documentary series that chronicles McNamara's quest.",,100 Foot Wave,,"['Garrett McNamara', 'Andrew Cotton', 'Nicole McNamara', 'Al Mennie']",73,,2021.0,2025.0,['Chris Smith'],3.0,17.0,documentary,,
233,show,series,7062,tt11823088,tv/100429,100 Humans: Life's Questions. Answered.,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",,100 Humans: Life's Questions. Answered.,,"['Haley Bockrath', 'Tyanta Snow', 'Komalpreet Batth', 'Braxton Hale', 'Alfredo Tavares', 'Alie Ward']",58,,2020.0,2020.0,[],1.0,8.0,reality,,
244,show,series,14476,tt3904078,tv/63038,100 Things to Do Before High School,"CJ Martin has a different kind of bucket list than older people do. When her brother warns her that life isn't as much fun in high school, she becomes determined to strengthen the bond with her two best friends, Fenwick and Christian.",,100 Things to Do Before High School,,"['Isabela Merced', 'Jaheem Toombs', 'Owen Patrick Joyner', 'Jack De Sena', 'Max Ehrich', 'Gianni DeCenzo', 'Stephanie Escajeda']",66,,2014.0,2016.0,['Scott Fellows'],1.0,25.0,comedy,family,
250,show,series,25751,tt0166940,tv/78782,100 Years of Horror,"Hosted by Christopher Lee, this program chronicles the history of horror from the earliest chillers and creature features to the modern era of horror.",,100 Years of Horror,,['Christopher Lee'],62,,1996.0,1997.0,[],1.0,26.0,documentary,horror,
252,show,series,2700503,tt27729024,tv/223249,100 Years of Warner Bros.,"Exploring the impact of Warner Bros. on art, commerce and culture, these four documentary specials tell the unprecedented story of the fabled entertainment studio on its 100th anniversary. Featuring insights from directors, actors, executives, journalists and historians, the four specials trace Warner Bros.' underdog origins -- from its founding in the early 1920s by four brothers from an immigrant family to the historic mergers of the 2000s that transformed the company into a global entertainment powerhouse. With narration by Morgan Freeman and clips from iconic films and hit TV series, 100 Years of Warner Bros. offers a fascinating behind-the-scenes look into the indelible stories that have spoken to audiences around the world for generations. Watch our favorites on Max or WB100.com.",,100 Years of Warner Bros.,,"['Morgan Freeman', 'Jacqueline Najuma Stewart', 'David Zaslav', 'George Clooney', 'Patty Jenkins', 'Oprah Winfrey', 'Christopher Nolan']",68,,2023.0,2023.0,[],1.0,4.0,documentary,history,
254,show,series,19339,tt11243606,tv/102966,100 días para enamorarnos,"Cerca de su aniversario de bodas, Constanza quiere el divorcio pero Plutarco le hace una propuesta: una prórroga de 100 días para volver a enamorarse.",,100 días para enamorarnos,,"['Ilse Salas', 'Mariana Treviño', 'Erick Elías', 'David Chocarro', 'Sylvia Sáenz', 'Héctor Suárez Gomís', 'Sofía Lama']",67,,2020.0,2021.0,['Ricardo Alvarez Canales'],2.0,92.0,comedy,,
257,show,series,17920,tt5819414,tv/74632,100% Hotter,"A fashion stylist, make-up artist and hair designer take fashion eyesores and attempt to transform their looks by removing their outrageous clothes and excessive make-up.",,100% Hotter,,"['Daniel Palmer', 'Melissa Sophia', 'Karen Williams', 'Grace Woodward', 'Laura Jackson']",44,,2016.0,2018.0,[],4.0,32.0,reality,,
261,show,series,7337,tt1105711,tv/15826,1000 Ways to Die,"1000 Ways to Die is back for an all new season, and putting a smiley face on death. It's loaded with crazy characters, bizarre situations, weird science and the best part - somebody always dies!",,1000 Ways to Die,,"['Ron Perlman', 'Alana Evans', 'Irena Murphy', 'Christine Nguyen', 'Michael Hanson', 'Kimberly Laferriere', 'Austin Bowerman']",70,,2009.0,2012.0,['Thom Beers'],8.0,72.0,comedy,documentary,horror
265,show,series,47860,tt16967326,tv/157247,1000-lb Best Friends,Best friends battle morbid obesity with heart and a wicked sense of humour.,,1000-lb Best Friends,,"['Vanessa Cross', 'Meghan Crumpler', 'Tina Arnold', 'Ashely Sutton', 'Dr. Charles Procter']",56,,2022.0,2024.0,[],3.0,26.0,reality,,
266,show,series,20237389,tt36857388,tv/291934,1000-lb Roomies,"Larger-than-life roommates Nesha and Jaz tackle life, love and losing weight as they bond over food and their shared love of Jaz's daughter, Nana.",,1000-lb Roomies,,[],60,,2025.0,2025.0,[],1.0,6.0,reality,,
